annualinc,applytype,collections,delinq,inq,openacc,dti,pubrec,homeowner,term,vstatus,lstatus
205.0,INDIVIDUAL,0,0,2,28,23.72,0,MORTGAGE,60 months,Source Verified,On Time
36.0,INDIVIDUAL,0,0,0,8,22.77,0,RENT,36 months,Not Verified,On Time
48.0,INDIVIDUAL,0,0,1,10,13.68,0,RENT,36 months,Source Verified,On Time
40.0,INDIVIDUAL,0,0,0,11,8.37,0,MORTGAGE,36 months,Not Verified,On Time
83.0,INDIVIDUAL,0,0,0,18,23.5,0,RENT,36 months,Source Verified,On Time
87.0,INDIVIDUAL,0,0,0,11,16.81,0,OWN,36 months,Source Verified,On Time
28.8,INDIVIDUAL,0,1,2,18,20.79,0,RENT,36 months,Not Verified,On Time
50.0,INDIVIDUAL,0,0,2,13,22.37,0,RENT,36 months,Source Verified,On Time
105.0,INDIVIDUAL,0,1,0,13,17.41,0,MORTGAGE,36 months,Not Verified,On Time
87.0,INDIVIDUAL,0,0,0,11,32.86,0,MORTGAGE,60 months,Source Verified,Risky
120.0,INDIVIDUAL,0,0,1,12,4.18,0,MORTGAGE,36 months,Not Verified,On Time
110.0,INDIVIDUAL,0,0,1,11,10.26,0,MORTGAGE,36 months,Not Verified,On Time
170.0,INDIVIDUAL,0,0,3,16,5.76,0,OWN,36 months,Verified,On Time
28.2,INDIVIDUAL,0,0,2,4,1.96,0,RENT,36 months,Verified,On Time
50.0,INDIVIDUAL,0,1,0,9,17.28,0,MORTGAGE,36 months,Not Verified,On Time
70.0,INDIVIDUAL,0,0,1,36,28.78,0,RENT,60 months,Verified,Risky
85.0,INDIVIDUAL,0,0,0,7,9.46,0,MORTGAGE,36 months,Source Verified,On Time
105.321,INDIVIDUAL,0,0,2,8,24.66,0,MORTGAGE,36 months,Verified,On Time
82.0,INDIVIDUAL,0,0,3,15,20.83,0,MORTGAGE,60 months,Not Verified,On Time
82.0,INDIVIDUAL,0,0,0,9,20.55,0,RENT,36 months,Not Verified,On Time
82.0,INDIVIDUAL,0,0,0,7,18.45,1,RENT,60 months,Source Verified,Risky
91.8,INDIVIDUAL,0,1,0,5,15.24,0,RENT,36 months,Not Verified,On Time
82.0,INDIVIDUAL,0,0,4,9,8.17,1,MORTGAGE,36 months,Not Verified,On Time
40.0,INDIVIDUAL,0,1,0,10,22.68,0,MORTGAGE,36 months,Verified,On Time
44.1,INDIVIDUAL,0,0,1,6,9.39,0,MORTGAGE,36 months,Not Verified,On Time
55.0,INDIVIDUAL,0,0,1,8,25.21,0,RENT,60 months,Source Verified,On Time
47.0,INDIVIDUAL,0,0,0,12,22.52,1,MORTGAGE,36 months,Not Verified,On Time
45.642,INDIVIDUAL,0,0,1,7,10.44,0,RENT,36 months,Not Verified,On Time
150.0,INDIVIDUAL,0,0,0,11,3.77,0,RENT,36 months,Verified,On Time
22.5,INDIVIDUAL,0,0,0,9,38.93,0,MORTGAGE,36 months,Verified,On Time
60.0,INDIVIDUAL,0,0,1,6,19.62,0,MORTGAGE,36 months,Not Verified,On Time
58.0,INDIVIDUAL,0,0,1,16,19.2,0,MORTGAGE,60 months,Not Verified,On Time
75.25,INDIVIDUAL,0,1,0,10,12.25,0,RENT,36 months,Verified,On Time
70.0,INDIVIDUAL,0,1,0,8,3.22,0,MORTGAGE,36 months,Not Verified,On Time
55.0,INDIVIDUAL,0,0,0,11,17.7,0,MORTGAGE,36 months,Verified,On Time
30.0,INDIVIDUAL,0,0,0,4,2.72,0,RENT,36 months,Not Verified,Risky
48.0,INDIVIDUAL,0,0,0,18,17.28,0,OWN,60 months,Verified,On Time
83.0,INDIVIDUAL,0,1,0,10,20.34,0,MORTGAGE,60 months,Source Verified,On Time
50.0,INDIVIDUAL,0,2,4,10,14.67,2,MORTGAGE,36 months,Verified,On Time
75.0,INDIVIDUAL,0,0,0,9,20.1,1,MORTGAGE,60 months,Source Verified,On Time
32.0,INDIVIDUAL,0,0,2,7,19.58,0,RENT,36 months,Source Verified,On Time
62.0,INDIVIDUAL,0,0,1,13,18.56,0,OWN,36 months,Not Verified,On Time
40.0,INDIVIDUAL,0,0,0,11,12.51,0,MORTGAGE,36 months,Verified,On Time
70.0,INDIVIDUAL,0,0,0,15,22.15,0,MORTGAGE,60 months,Not Verified,On Time
25.484,INDIVIDUAL,0,0,0,6,8.96,0,OWN,36 months,Not Verified,On Time
56.0,INDIVIDUAL,0,0,0,17,27.02,0,RENT,60 months,Verified,On Time
60.0,INDIVIDUAL,0,0,2,9,18.86,0,RENT,36 months,Not Verified,On Time
60.0,INDIVIDUAL,0,0,0,12,15.8,0,MORTGAGE,60 months,Source Verified,On Time
60.0,INDIVIDUAL,0,0,1,13,32.02,0,MORTGAGE,60 months,Source Verified,Risky
55.0,INDIVIDUAL,0,2,0,14,33.43,1,OWN,60 months,Verified,On Time
47.749,INDIVIDUAL,0,0,0,7,32.57,0,MORTGAGE,60 months,Source Verified,On Time
80.0,INDIVIDUAL,0,0,2,5,8.38,0,RENT,36 months,Source Verified,On Time
55.0,INDIVIDUAL,0,0,0,25,16.89,0,RENT,36 months,Not Verified,On Time
53.0,INDIVIDUAL,0,0,1,12,23.07,0,RENT,60 months,Verified,On Time
96.0,INDIVIDUAL,0,1,0,9,12.05,0,MORTGAGE,36 months,Not Verified,On Time
130.0,INDIVIDUAL,0,0,0,22,19.64,4,RENT,60 months,Verified,On Time
100.0,INDIVIDUAL,0,0,0,7,10.06,0,RENT,36 months,Source Verified,On Time
102.0,INDIVIDUAL,0,0,1,9,12.92,0,MORTGAGE,60 months,Source Verified,Risky
53.8,INDIVIDUAL,0,0,1,8,23.49,0,MORTGAGE,36 months,Verified,On Time
56.5,INDIVIDUAL,0,1,0,9,11.06,0,RENT,36 months,Not Verified,On Time
100.0,INDIVIDUAL,0,0,0,10,6.38,0,MORTGAGE,36 months,Verified,On Time
79.0,INDIVIDUAL,0,0,5,21,25.41,2,MORTGAGE,36 months,Not Verified,On Time
